OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineTotal
1,1,26,1,231.23,17.53,213.7
2,1,4,2,25.73,1.36,50.1
3,2,19,1,440.57,51.03,389.54
4,2,14,3,153.82,1.88,459.58
5,3,33,3,57.5,0.92,171.58
6,3,34,1,211.44,2.9,208.54
7,3,11,1,196.99,26.6,170.39
8,3,4,1,25.73,2.08,23.65
9,4,3,3,386.47,24.45,1134.96
10,4,6,2,254.62,10.4,498.84
11,4,27,3,175.66,11.04,515.94
12,4,38,2,462.4,36.6,888.2
13,4,37,3,99.91,12.9,286.83
14,5,37,1,99.91,10.11,89.8
15,5,7,1,78.42,14.64,63.78
16,5,5,1,42.43,7.46,34.97
17,5,35,2,207.28,11.81,402.75
18,6,1,2,367.27,8.48,726.06
19,6,36,1,103.88,15.42,88.46
20,6,20,1,128.03,6.97,121.06
21,6,7,3,78.42,3.3,231.96
22,6,9,2,251.82,10.25,493.39
23,7,17,2,193.22,1.7,384.74
24,7,4,2,25.73,3.97,47.49
25,7,6,3,254.62,49.9,713.96
26,7,28,1,44.79,6.64,38.15
27,8,10,3,317.45,2.29,950.06
28,9,3,2,386.47,69.49,703.45
29,9,20,1,128.03,23.02,105.01
30,10,23,3,437.49,77.36,1235.11
31,11,12,1,431.78,15.49,416.29
32,11,27,2,175.66,27.49,323.83
33,12,7,1,78.42,13.47,64.95
34,12,25,1,497.62,19.86,477.76
35,13,15,3,477.37,18.44,1413.67
36,13,2,2,142.27,7.93,276.61
37,14,26,2,231.23,8.26,454.2
38,14,35,2,207.28,1.59,412.97
39,14,22,3,333.28,28.97,970.87
40,14,2,3,142.27,22.38,404.43
41,14,8,2,205.71,24.94,386.48
42,15,28,1,44.79,4.66,40.13
43,16,5,3,42.43,7.64,119.65
44,16,22,3,333.28,20.62,979.22
45,16,21,2,248.14,16.19,480.09
46,16,8,3,205.71,12.16,604.97
47,17,12,3,431.78,72,1223.34
48,17,37,2,99.91,5.73,194.09
49,17,20,2,128.03,20.12,235.94
50,17,26,3,231.23,30.28,663.41
51,18,33,3,57.5,1.95,170.55
52,18,31,1,74.83,4.25,70.58
53,19,15,1,477.37,4.41,472.96
54,19,13,2,443.55,54.23,832.87
55,19,10,1,317.45,28.91,288.54
56,20,32,3,241.76,33.25,692.03
57,20,26,1,231.23,36,195.23
58,20,16,1,457.19,16.08,441.11
59,20,10,3,317.45,32.89,919.46
60,21,9,3,251.82,15.98,739.48
61,21,30,2,126.62,15.51,237.73
62,21,34,3,211.44,37.72,596.6
63,21,36,2,103.88,17.26,190.5
64,22,29,3,453.66,43.97,1317.01
65,22,17,1,193.22,10.61,182.61
66,22,16,1,457.19,65.25,391.94
67,22,18,1,168.84,9.18,159.66
68,23,15,3,477.37,14.59,1417.52
69,23,25,1,497.62,6.39,491.23
70,24,14,2,153.82,11.98,295.66
71,25,23,2,437.49,65.93,809.05
72,26,39,2,329.55,1.91,657.19
73,26,15,2,477.37,63.86,890.88
74,26,32,2,241.76,35.02,448.5
